NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2012,A6,A7,A7A,A11,A8,AM21,AM22,X3,X4,AM8,A9,A10,A10A,A21,A22,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J11,J12,K_1,K_2,K_3,K_4,K_5,B20_1,B20_2,B20_3,B20_4,B11A,B21,B22_1,B22_2,B22_3,B22_4,B22_5,B22_6,B22_7,B22_8,B1,B2,B4,B23,B14,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,EA_2A,E4A,E5_2012,E7,E8,E20,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G21,G22,G4,G25_1,G25_2,G25_3,G25_4,G25_5,G23,H1,H3,M1_1,M1_2,M4,M20,M21_1,M21_2,M21_3,M21_4,M22,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2012010031,15,3,2,2,6,12,1,4,5,1,3,5,2,3, ,1, , ,8, ,2,2, , ,1,1,2,1,2, , ,2,2,4,1,1,2,2,1,1,2,2,1,1,2,2,3,2,2,1,1,2,1,3,3,1,1,1, ,2,1, ,2,2, , , ,2,1,2,1,2,2,2,1,2,3,-98,1,2,2,1,2,3,2,1,1,2,2,1,1,2,2,2, ,2,1,1,1,1,1,7,1,2,6,6,7,3, , , , ,1,1,3,98,1,98,1.577671128178590,0.755097332624305,1.068113684046360
2012010032,10,5,3,2,6,12,1,4,1,2,1,6,5,3,3,1, , ,3,2,1,2, ,3,9,4,1,3,1, ,1, ,2,2,1,2,2,1,2,2,1,2,2,1,2, ,3,1,2,2,3,3,3,3,3,1,1,2, ,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,4,100,2,2, , ,2,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1,1,7,7,6,3, , , , ,1,1,98,1,1,98,1.173593189941430,2.956766128667890,1.005696836691570
2012010033,10,5,3,2,6,12,1,6,5,1,3,5,3,3, ,1, , ,8, ,2, , , ,3,1,2,2,2, , ,2,2,1,1,1,2,2,2,1,2,2,2,1,2, ,3,2,2,2,1,2,2,3,3,1,1,1, ,2,1, ,2,2, , , ,1,1,2,1,2,2,2,2,2, , , , , , ,2,3,1,1,1,1,1,1,2,1,98,2, ,2,1,1,4,3,1,7,1,1,4,5,5,2,1,2,2, ,1,1,3,98,1,98,0.814834463971776,2.325002476723090,0.979342710668968
2012010034,50,3,2,1,6,6,1,2,1,2,1,5,3,3,3,1, , ,1,3,1,2, ,1,5,7,1,2,2, ,2, ,2,3,1,1,2,2,2,1,2,2,1,1,2,2,3,2,2,2,1,3,1,3,3,1,1,1, ,2,2, , ,2, , , ,1,2,2,1,2,1,2,1,1,2,-98,1,2,2,3,2,7, , , , , , , ,2,2,2, ,2,1,1,1,1,1,5,1,2,6,4,4,3, , , , ,1,1,3,1,1,2,1.534316746880300,0.613127370663378,1.022619329225810
2012010035,23,3,2,1,5,5,1,5,1,2,1,3,4,3,3,1, , ,2,2,1, , ,3,6,7,1,2,1,2,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,3,3,3,3,2,2, ,1, ,1,3,2,2, , , ,1,2,2,2,2,2,2,1,2,7,-99,1,2,98,1,2,1,1,2,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,5,1,1,6,6,6,1, , , , ,1,1,3,98,1,2,1.065287507393870,0.876302207099275,0.855067761344582
2012010036,5,9,4,2,5,11,2,6,4,1,3,6,5,3, ,1, , ,2, ,1, , , ,2,1,1,3,1, ,1, ,1,2,2,2,2,2,2,1,1,2,2,1,2, ,3,3,3,1,3,3,2,3,3,1,1,2, ,1,1, ,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1, ,2,1,2, ,2,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1,2,7,6,5,3, , , , ,1,1,3,2,1,2,1.465199883290880,3.535458721123350,0.985197620844643
2012010037,33,2,1,1,5,5,1,4,1,2,1,5,5,2,3,1, ,2,2,2,1,2, ,1,7,7,1,3,2, ,1, ,2,1,2,2,2,1,2,1,2,1,1,1,2,2,3,2,2,2,3,3,1,3,3,1,1,2, ,1,1,3,1,1,1,2,2,1,1,2,2,2,1,2,1,2,1, ,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2, ,2,1,1,1,1,1,5,1,1,6,6,5,3, , , , ,1,1,3,98,1,2,2.234988772163510,1.477274686247760,1.063871389236960
2012010038,5,9,4,2,6,12,1,5,4,1,3,1,6,3, ,1, , ,8, ,2, , , ,6,3,3,3,1,2, ,1,2,1,1,2,2,2,2,2,2,2,2,1,2, ,3,2,2,1,1,3,1,3,3,1,1,2, ,2,1, ,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1, ,1,1,2,1,2,3,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1,2,7,7,5,3, , , , ,1,1,3,2,1,2,1.166254006420880,3.244166043147080,0.982646892728428
2012010039,50,3,2,2,2,8,1,5,1,2,1,1,5,3,3,1, , ,2,2,1, , ,1,5,3,1,3,1,1,2, ,2,1,2,1,2,2,2,2,2,2,2,1,2, ,3,2,2,2,1,3,1,3,3,1,1,2, ,2,1,3,1,2,1,2,2,1,2,2,2,2,2,2,1,2,9,0,1,2,1,1,2,4,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,6,1,1,6,5,4,98, , , , ,1,1,3,98,1,2,1.011341917357240,0.555665968458068,0.833086405751693
2012010040,43,6,3,1,4,4,1,4,1,2,1,1,5,3,3,1, , ,1,3,1,2, ,1,4,8,3,2,2,2,2, ,1,3,2,2,1,2,2,2,2,1,2,1,1, ,3,2,1,2,1,1,3,3,3,1,1,2, ,2,1,2,98,2, , , ,1,2,2,2,2,1,2,1,1,1, ,2,2, , ,2,3,2,1,1,2,2,1,1,1,2,2, ,1,1,2,2,1,2,6,1,2,6,6,6,3, , , , ,1,1,2,4,1,98,0.861631058226750,1.679003193730710,1.125830127195770
